"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"dependent.var111","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",46.2622950819672,NA,44.1232030532505,48.401387110684,"mantika","LY0104",0.00768091905992394,"two sample ttest on difference in means (two sided)"
"dependent.var30","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",48.05,NA,45.9007316984879,50.1992683015121,"mantika","LY0216",0.556745488328348,"two sample ttest on difference in means (two sided)"
"dependent.var112","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",48.1615384615385,NA,46.1258191170181,50.1972578060588,"mantika","LY0216",0.556745488328348,"two sample ttest on difference in means (two sided)"
"dependent.var210","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",49.0697674418605,NA,46.8178146645784,51.3217202191426,"mantika","LY0216",0.556745488328348,"two sample ttest on difference in means (two sided)"
"dependent.var31","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",54.6279069767442,NA,52.4219515670065,56.8338623864819,"mantika","LY0318",0.341009817096448,"two sample ttest on difference in means (two sided)"
"dependent.var113","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",53.1081081081081,NA,50.8848050421116,55.3314111741046,"mantika","LY0318",0.341009817096448,"two sample ttest on difference in means (two sided)"
"dependent.var211","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",51.75,NA,48.6323373816985,54.8676626183015,"mantika","LY0318",0.341009817096448,"two sample ttest on difference in means (two sided)"
"dependent.var32","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",50.2307692307692,NA,47.2842372827459,53.1773011787925,"mantika","LY0322",0.24456428910869,"two sample ttest on difference in means (two sided)"
"dependent.var114","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",48,NA,45.6638846712397,50.3361153287603,"mantika","LY0322",0.24456428910869,"two sample ttest on difference in means (two sided)"
"dependent.var212","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",51.3829787234043,NA,47.3352466091282,55.4307108376803,"mantika","LY0322",0.24456428910869,"two sample ttest on difference in means (two sided)"
"dependent.var33","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",51.7686567164179,NA,49.7368846191081,53.8004288137278,"mantika","LY0102",3.55486595372437e-05,"two sample ttest on difference in means (two sided)"
"dependent.var115","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",44.8684210526316,NA,42.3834460595786,47.3533960456845,"mantika","LY0102",3.55486595372437e-05,"two sample ttest on difference in means (two sided)"
"dependent.var34","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",51.6808510638298,NA,49.303205752343,54.0584963753166,"mantika","LY0211",0.577521941627535,"two sample ttest on difference in means (two sided)"
"dependent.var116","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",51.0322580645161,NA,48.3667659093149,53.6977502197174,"mantika","LY0211",0.577521941627535,"two sample ttest on difference in means (two sided)"
"dependent.var213","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",50.7615384615385,NA,48.5587943114296,52.9642826116474,"mantika","LY0211",0.577521941627535,"two sample ttest on difference in means (two sided)"
"dependent.var35","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",49.8602150537634,NA,47.893484107483,51.8269460000439,"mantika","LY0320",0.921233762350549,"two sample ttest on difference in means (two sided)"
"dependent.var117","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",42.87,NA,40.5959409192837,45.1440590807163,"mantika","LY0320",0.921233762350549,"two sample ttest on difference in means (two sided)"
"dependent.var214","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",50,NA,48.0393762800187,51.9606237199813,"mantika","LY0320",0.921233762350549,"two sample ttest on difference in means (two sided)"
"dependent.var36","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",44.1891891891892,NA,41.7783353289774,46.600043049401,"mantika","LY0317",0.0159914979784906,"two sample ttest on difference in means (two sided)"
"dependent.var118","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",48.2977099236641,NA,46.0089005975137,50.5865192498145,"mantika","LY0317",0.0159914979784906,"two sample ttest on difference in means (two sided)"
"dependent.var37","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Returnee",44.2554744525547,NA,42.1965968690559,46.3143520360536,"mantika","LY0101",0.193648681721889,"two sample ttest on difference in means (two sided)"
"dependent.var119","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",46.4523809523809,NA,42.8676380146017,50.0371238901602,"mantika","LY0101",0.193648681721889,"two sample ttest on difference in means (two sided)"
"dependent.var215","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",49.4155844155844,NA,46.7081472772264,52.1230215539424,"mantika","LY0101",0.193648681721889,"two sample ttest on difference in means (two sided)"
"dependent.var38","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"Non-Displaced",45.3533834586466,NA,42.8953527064185,47.8114142108748,"mantika","LY0106",0.00243000852310424,"two sample ttest on difference in means (two sided)"
"dependent.var120","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",51.1904761904762,NA,48.3741796241026,54.0067727568498,"mantika","LY0106",0.00243000852310424,"two sample ttest on difference in means (two sided)"
"1","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.948453608247423,NA,0.904363645056539,0.992543571438306,"mantika","LY0213",0.949940111935777,"Pearson's X^2: Rao & Scott adjustment"
"2","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.932835820895522,NA,0.89037019930186,0.975301442489185,"mantika","LY0213",0.949940111935777,"Pearson's X^2: Rao & Scott adjustment"
"3","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.842105263157895,NA,0.677816205308091,1,"mantika","LY0213",0.949940111935777,"Pearson's X^2: Rao & Scott adjustment"
"4","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0515463917525773,NA,0.00745642856169408,0.0956363549434606,"mantika","LY0213",0.949940111935777,"Pearson's X^2: Rao & Scott adjustment"
"5","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0671641791044776,NA,0.0246985575108149,0.10962980069814,"mantika","LY0213",0.949940111935777,"Pearson's X^2: Rao & Scott adjustment"
"6","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.157894736842105,NA,0,0.322183794691909,"mantika","LY0213",0.949940111935777,"Pearson's X^2: Rao & Scott adjustment"
"110","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.958762886597938,NA,0.919121117727328,0.998404655468548,"mantika","LY0105",0.756177019949818,"Pearson's X^2: Rao & Scott adjustment"
"25","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.959016393442623,NA,0.92377303040267,0.994259756482576,"mantika","LY0105",0.756177019949818,"Pearson's X^2: Rao & Scott adjustment"
"31","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",1,NA,1,1,"mantika","LY0105",0.756177019949818,"Pearson's X^2: Rao & Scott adjustment"
"41","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0412371134020619,NA,0.00159534453145208,0.0808788822726716,"mantika","LY0105",0.756177019949818,"Pearson's X^2: Rao & Scott adjustment"
"51","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0409836065573771,NA,0.00574024351742411,0.07622696959733,"mantika","LY0105",0.756177019949818,"Pearson's X^2: Rao & Scott adjustment"
"61","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0,NA,0,0,"mantika","LY0105",0.756177019949818,"Pearson's X^2: Rao & Scott adjustment"
"111","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.947368421052632,NA,0.902397268691281,0.992339573413982,"mantika","LY0103",0.0800315520625519,"Pearson's X^2: Rao & Scott adjustment"
"26","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.920634920634921,NA,0.873364839878586,0.967905001391255,"mantika","LY0103",0.0800315520625519,"Pearson's X^2: Rao & Scott adjustment"
"32","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.981132075471698,NA,0.955191115897537,1,"mantika","LY0103",0.0800315520625519,"Pearson's X^2: Rao & Scott adjustment"
"42","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0526315789473684,NA,0.00766042658601816,0.0976027313087187,"mantika","LY0103",0.0800315520625519,"Pearson's X^2: Rao & Scott adjustment"
"52","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0793650793650794,NA,0.0320949986087446,0.126635160121414,"mantika","LY0103",0.0800315520625519,"Pearson's X^2: Rao & Scott adjustment"
"62","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.0188679245283019,NA,0,0.0448088841024626,"mantika","LY0103",0.0800315520625519,"Pearson's X^2: Rao & Scott adjustment"
"112","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.201923076923077,NA,0.124603610635819,0.279242543210335,"mantika","LY0319",0.813552227943931,"Pearson's X^2: Rao & Scott adjustment"
"27","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.10655737704918,NA,0.0516873288022457,0.161427425296115,"mantika","LY0319",0.813552227943931,"Pearson's X^2: Rao & Scott adjustment"
"33","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0,NA,0,0,"mantika","LY0319",0.813552227943931,"Pearson's X^2: Rao & Scott adjustment"
"43","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.798076923076923,NA,0.720757456789666,0.875396389364181,"mantika","LY0319",0.813552227943931,"Pearson's X^2: Rao & Scott adjustment"
"53","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.89344262295082,NA,0.838572574703885,0.948312671197754,"mantika","LY0319",0.813552227943931,"Pearson's X^2: Rao & Scott adjustment"
"63","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",1,NA,1,1,"mantika","LY0319",0.813552227943931,"Pearson's X^2: Rao & Scott adjustment"
"113","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.980392156862745,NA,0.953444938112519,1,"mantika","LY0214",0.688452369303145,"Pearson's X^2: Rao & Scott adjustment"
"28","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.925373134328358,NA,0.88081234729942,0.969933921357297,"mantika","LY0214",0.688452369303145,"Pearson's X^2: Rao & Scott adjustment"
"34","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.969387755102041,NA,0.935230534535988,1,"mantika","LY0214",0.688452369303145,"Pearson's X^2: Rao & Scott adjustment"
"44","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0196078431372549,NA,0,0.0465550618874809,"mantika","LY0214",0.688452369303145,"Pearson's X^2: Rao & Scott adjustment"
"54","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0746268656716418,NA,0.0300660786427034,0.11918765270058,"mantika","LY0214",0.688452369303145,"Pearson's X^2: Rao & Scott adjustment"
"64","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.0306122448979592,NA,0,0.0647694654640123,"mantika","LY0214",0.688452369303145,"Pearson's X^2: Rao & Scott adjustment"
"114","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",1,NA,1,1,"mantika","LY0212",0.839731114906478,"Pearson's X^2: Rao & Scott adjustment"
"29","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.992537313432836,NA,0.977942994474844,1,"mantika","LY0212",0.839731114906478,"Pearson's X^2: Rao & Scott adjustment"
"35","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.98,NA,0.952518322030455,1,"mantika","LY0212",0.839731114906478,"Pearson's X^2: Rao & Scott adjustment"
"45","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0,NA,0,0,"mantika","LY0212",0.839731114906478,"Pearson's X^2: Rao & Scott adjustment"
"55","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.00746268656716418,NA,0,0.0220570055251558,"mantika","LY0212",0.839731114906478,"Pearson's X^2: Rao & Scott adjustment"
"65","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.02,NA,0,0.0474816779695448,"mantika","LY0212",0.839731114906478,"Pearson's X^2: Rao & Scott adjustment"
"115","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.8125,NA,0.620358839494762,1,"mantika","LY0208",0.0317203879814005,"Pearson's X^2: Rao & Scott adjustment"
"210","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.705882352941176,NA,0.552011867045154,0.859752838837199,"mantika","LY0208",0.0317203879814005,"Pearson's X^2: Rao & Scott adjustment"
"36","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.931034482758621,NA,0.865517639329392,0.996551326187849,"mantika","LY0208",0.0317203879814005,"Pearson's X^2: Rao & Scott adjustment"
"46","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.1875,NA,0,0.379641160505238,"mantika","LY0208",0.0317203879814005,"Pearson's X^2: Rao & Scott adjustment"
"56","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.294117647058824,NA,0.140247161162801,0.447988132954846,"mantika","LY0208",0.0317203879814005,"Pearson's X^2: Rao & Scott adjustment"
"66","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.0689655172413793,NA,0.00344867381215061,0.134482360670608,"mantika","LY0208",0.0317203879814005,"Pearson's X^2: Rao & Scott adjustment"
"116","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.841584158415842,NA,0.770250677633476,0.912917639198207,"mantika","LY0321",0.0109211949590246,"Pearson's X^2: Rao & Scott adjustment"
"211","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.930434782608696,NA,0.883855140790714,0.977014424426677,"mantika","LY0321",0.0109211949590246,"Pearson's X^2: Rao & Scott adjustment"
"37","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.873239436619718,NA,0.795715539022565,0.950763334216872,"mantika","LY0321",0.0109211949590246,"Pearson's X^2: Rao & Scott adjustment"
"47","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.158415841584158,NA,0.0870823608017929,0.229749322366524,"mantika","LY0321",0.0109211949590246,"Pearson's X^2: Rao & Scott adjustment"
"57","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0695652173913043,NA,0.0229855755733233,0.116144859209285,"mantika","LY0321",0.0109211949590246,"Pearson's X^2: Rao & Scott adjustment"
"67","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.126760563380282,NA,0.0492366657831281,0.204284460977435,"mantika","LY0321",0.0109211949590246,"Pearson's X^2: Rao & Scott adjustment"
"dependent.var39","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","NA",1,NA,NA,NA,"mantika","LY0215",NA,"less than two unique values in the dependent variable"
"117","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.908163265306122,NA,0.850893608163769,0.965432922448476,"mantika","LY0107",0.972174442787129,"Pearson's X^2: Rao & Scott adjustment"
"212","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.894736842105263,NA,0.842496323974166,0.94697736023636,"mantika","LY0107",0.972174442787129,"Pearson's X^2: Rao & Scott adjustment"
"38","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.8875,NA,0.81814737764743,0.95685262235257,"mantika","LY0107",0.972174442787129,"Pearson's X^2: Rao & Scott adjustment"
"48","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0918367346938775,NA,0.0345670775515241,0.149106391836231,"mantika","LY0107",0.972174442787129,"Pearson's X^2: Rao & Scott adjustment"
"58","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.105263157894737,NA,0.0530226397636401,0.157503676025834,"mantika","LY0107",0.972174442787129,"Pearson's X^2: Rao & Scott adjustment"
"68","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.1125,NA,0.0431473776474301,0.18185262235257,"mantika","LY0107",0.972174442787129,"Pearson's X^2: Rao & Scott adjustment"
"118","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",1,NA,1,1,"mantika","LY0104",0.785485143146461,"Pearson's X^2: Rao & Scott adjustment"
"213","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.959016393442623,NA,0.923747079810512,0.994285707074735,"mantika","LY0104",0.785485143146461,"Pearson's X^2: Rao & Scott adjustment"
"39","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0,NA,0,0,"mantika","LY0104",0.785485143146461,"Pearson's X^2: Rao & Scott adjustment"
"49","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0409836065573771,NA,0.0057142929252656,0.0762529201894885,"mantika","LY0104",0.785485143146461,"Pearson's X^2: Rao & Scott adjustment"
"119","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",1,NA,1,1,"mantika","LY0216",0.815566721938826,"Pearson's X^2: Rao & Scott adjustment"
"214","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.992537313432836,NA,0.97794264473021,1,"mantika","LY0216",0.815566721938826,"Pearson's X^2: Rao & Scott adjustment"
"310","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.99,NA,0.970468157419962,1,"mantika","LY0216",0.815566721938826,"Pearson's X^2: Rao & Scott adjustment"
"410","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0,NA,0,0,"mantika","LY0216",0.815566721938826,"Pearson's X^2: Rao & Scott adjustment"
"59","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.00746268656716418,NA,0,0.0220573552697898,"mantika","LY0216",0.815566721938826,"Pearson's X^2: Rao & Scott adjustment"
"69","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.01,NA,0,0.0295318425800376,"mantika","LY0216",0.815566721938826,"Pearson's X^2: Rao & Scott adjustment"
"120","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.918918918918919,NA,0.85659530001016,0.981242537827678,"mantika","LY0318",0.915024148025407,"Pearson's X^2: Rao & Scott adjustment"
"215","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.9,NA,0.848320329033434,0.951679670966566,"mantika","LY0318",0.915024148025407,"Pearson's X^2: Rao & Scott adjustment"
"311","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.78125,NA,0.637712883255859,0.924787116744141,"mantika","LY0318",0.915024148025407,"Pearson's X^2: Rao & Scott adjustment"
"411","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0810810810810811,NA,0.0187574621723222,0.14340469998984,"mantika","LY0318",0.915024148025407,"Pearson's X^2: Rao & Scott adjustment"
"510","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.1,NA,0.0483203290334338,0.151679670966566,"mantika","LY0318",0.915024148025407,"Pearson's X^2: Rao & Scott adjustment"
"610","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.21875,NA,0.0752128832558588,0.362287116744141,"mantika","LY0318",0.915024148025407,"Pearson's X^2: Rao & Scott adjustment"
"121","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.78021978021978,NA,0.694980668018864,0.865458892420696,"mantika","LY0322",0.828112227647371,"Pearson's X^2: Rao & Scott adjustment"
"216","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.908396946564885,NA,0.858907340798141,0.95788655233163,"mantika","LY0322",0.828112227647371,"Pearson's X^2: Rao & Scott adjustment"
"312","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.893617021276596,NA,0.805305026536091,0.9819290160171,"mantika","LY0322",0.828112227647371,"Pearson's X^2: Rao & Scott adjustment"
"412","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.21978021978022,NA,0.134541107579304,0.305019331981136,"mantika","LY0322",0.828112227647371,"Pearson's X^2: Rao & Scott adjustment"
