"","indicator","p value","test type","dependent.var.value","independent.var.value","numbers","se","min","max"
"251","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Jadimura","Female",42.8496734636212,NA,NA,NA
"261","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Kutupalong RC","Female",31.9735846156483,NA,NA,NA
"271","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Nayapara EXP","Female",40.1184868065911,NA,NA,NA
"281","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Nayapara RC","Female",36.7198424278611,NA,NA,NA
"291","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Unchiprang","Female",18.3849484052942,NA,NA,NA
"301","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 10","Male",91.7099342665991,NA,NA,NA
"312","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 11","Male",92.5493391711262,NA,NA,NA
"321","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 12","Male",56.8611787903006,NA,NA,NA
"331","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 13","Male",123.644941354743,NA,NA,NA
"341","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 14","Male",87.0838680064713,NA,NA,NA
"351","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 15","Male",146.709026753886,NA,NA,NA
"361","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 16","Male",62.4460751508336,NA,NA,NA
"371","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 17","Male",24.6920429073067,NA,NA,NA
"381","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 18","Male",82.9322724684054,NA,NA,NA
"391","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 19","Male",55.2804889994026,NA,NA,NA
"401","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 1E","Male",99.2710457377108,NA,NA,NA
"41","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 1W","Male",119.436446625085,NA,NA,NA
"42","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 20","Male",2.27862812064072,NA,NA,NA
"43","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 2E","Male",72.4783611624302,NA,NA,NA
"44","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 2W","Male",59.3273063903516,NA,NA,NA
"45","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 3","Male",107.93126669459,NA,NA,NA
"46","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 4","Male",84.1684515558199,NA,NA,NA
"47","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 5","Male",75.4089260745666,NA,NA,NA
"48","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 6","Male",69.1242317726195,NA,NA,NA
"49","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 7","Male",127.660099358101,NA,NA,NA
"50","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 8E","Male",86.4692949069847,NA,NA,NA
"51","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 8W","Male",110.251172272373,NA,NA,NA
"52","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp 9","Male",104.382869145542,NA,NA,NA
"53","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Chakmarkul","Male",40.1835501418717,NA,NA,NA
"54","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Jadimura","Male",44.4977378276066,NA,NA,NA
"55","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Kutupalong RC","Male",29.8420123079384,NA,NA,NA
"56","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Nayapara EXP","Male",56.9122719814432,NA,NA,NA
"57","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Nayapara RC","Male",57.3187784239783,NA,NA,NA
"58","VAR.11...enter.the.survey.site.",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Unchiprang","Male",57.5528819643992,NA,NA,NA
"113","VAR.17...are.you.the.head.of.the.family.",3.02760101823283e-34,"Pearson's X^2: Rao & Scott adjustment","No","Female",65.0779897400318,NA,NA,NA
"213","VAR.17...are.you.the.head.of.the.family.",3.02760101823283e-34,"Pearson's X^2: Rao & Scott adjustment","Yes","Female",782.517509926841,NA,NA,NA
"313","VAR.17...are.you.the.head.of.the.family.",3.02760101823283e-34,"Pearson's X^2: Rao & Scott adjustment","No","Male",667.650053471637,NA,NA,NA
"412","VAR.17...are.you.the.head.of.the.family.",3.02760101823283e-34,"Pearson's X^2: Rao & Scott adjustment","Yes","Male",1560.75444686149,NA,NA,NA
"114","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Brother","Female",0.308697047668315,NA,NA,NA
"214","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Daughter","Female",15.47616488988,NA,NA,NA
"314","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Father","Female",0.972945093826329,NA,NA,NA
"413","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Husband","Female",15.3217954615152,NA,NA,NA
"511","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Mother","Female",14.1569032194988,NA,NA,NA
"611","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Other","Female",4.12611050234313,NA,NA,NA
"711","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Sister","Female",6.20613390114763,NA,NA,NA
"811","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Son","Female",9.95425282474991,NA,NA,NA
"910","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Wife","Female",10.816120397951,NA,NA,NA
"102","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Brother","Male",7.33188378102997,NA,NA,NA
"115","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Daughter","Male",16.6419131621492,NA,NA,NA
"122","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Father","Male",8.02566484080212,NA,NA,NA
"132","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Husband","Male",9.55475713368108,NA,NA,NA
"142","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Mother","Male",5.25647816880908,NA,NA,NA
"152","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Other","Male",0.0337007522377991,NA,NA,NA
"162","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Sister","Male",8.66503692458127,NA,NA,NA
"172","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Son","Male",21.0243790692566,NA,NA,NA
"182","VAR.18...what.is.your.relationship.to.the.head.of.family.",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Wife","Male",583.127062828873,NA,NA,NA
"Female1","VAR.21...how.many.members.of.the.family.are.there.",1.17234037330988e-18,"two sample ttest on difference in means (two sided)",NA,"Female",4.47377958536574,0.0649984605460768,4.34638494364488,4.60117422708659
"Male1","VAR.21...how.many.members.of.the.family.are.there.",1.17234037330988e-18,"two sample ttest on difference in means (two sided)",NA,"Male",5.1653409530138,0.042321850180719,5.08239165090049,5.24829025512711
"116","VAR.22...does.this.family.have.infants.under.6.months.old.",8.15725421245355e-08,"Pearson's X^2: Rao & Scott adjustment","No","Female",786.212548705111,NA,NA,NA
"215","VAR.22...does.this.family.have.infants.under.6.months.old.",8.15725421245355e-08,"Pearson's X^2: Rao & Scott adjustment","Yes","Female",61.3829509617617,NA,NA,NA
"315","VAR.22...does.this.family.have.infants.under.6.months.old.",8.15725421245355e-08,"Pearson's X^2: Rao & Scott adjustment","No","Male",1899.04138845367,NA,NA,NA
"414","VAR.22...does.this.family.have.infants.under.6.months.old.",8.15725421245355e-08,"Pearson's X^2: Rao & Scott adjustment","Yes","Male",329.363111879461,NA,NA,NA
"117","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","2-4 weeks","Female",250.010741932922,NA,NA,NA
"216","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",18.7487619159471,NA,NA,NA
"316","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","I don't want to answer","Female",1.7313460907732,NA,NA,NA
"415","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","Immediately","Female",45.8547268311091,NA,NA,NA
"512","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","More than one month","Female",279.436421389366,NA,NA,NA
"612","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","One week","Female",251.813501506756,NA,NA,NA
"712","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","2-4 weeks","Male",801.480112718028,NA,NA,NA
"812","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",29.1930840118946,NA,NA,NA
"911","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","I don't want to answer","Male",1.9538100534728,NA,NA,NA
"103","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","Immediately","Male",95.0866312104579,NA,NA,NA
"118","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","More than one month","Male",564.064543364446,NA,NA,NA
"123","VAR.23...how.long.did.it.take.between.your.arrival.in.bangladesh.and.your.settling.in.this.location.",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","One week","Male",736.626318974828,NA,NA,NA
"119","VAR.24...do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when.",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",3.57103460976573,NA,NA,NA
"217","VAR.24...do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when.",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","No, we intend to stay","Female",825.092388493141,NA,NA,NA
"317","VAR.24...do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when.",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, but unsure when","Female",16.4599800179874,NA,NA,NA
"416","VAR.24...do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when.",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, within one month","Female",1.64806436398543,NA,NA,NA
"513","VAR.24...do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when.",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, within two months","Female",0.824032181992715,NA,NA,NA
"613","VAR.24...do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when.",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",13.8343086826522,NA,NA,NA
"713","VAR.24...do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when.",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","No, we intend to stay","Male",2160.01185492554,NA,NA,NA
"813","VAR.24...do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when.",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, but unsure when","Male",45.1531043321401,NA,NA,NA
"912","VAR.24...do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when.",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, within one month","Male",7.86742994254509,NA,NA,NA
"104","VAR.24...do.you.and.your.family.intend.to.leave.this.shelter.in.the.near.future..if.so..when.",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, within two months","Male",1.53780245024538,NA,NA,NA
"120","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Access to basic services / food is perceived to be better elsewhere","Female",1.58180372636455,NA,NA,NA
"218","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Current location is not safe","Female",2.42237991535928,NA,NA,NA
"318","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",2.59227764526945,NA,NA,NA
"417","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Other","Female",0.408033461232673,NA,NA,NA
"514","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Reunification with family/relatives","Female",8.49270973763352,NA,NA,NA
"614","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Shelter is in poor condition","Female",9.51833799993086,NA,NA,NA
"714","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","The family doesn't feel welcome in current location","Female",0.816066922465346,NA,NA,NA
"814","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","The family was asked to resettle elsewhere","Female",0,NA,NA,NA
"913","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Access to basic services / food is perceived to be better elsewhere","Male",4.44553216495558,NA,NA,NA
"105","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Current location is not safe","Male",11.0734622861554,NA,NA,NA
"1110","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",0,NA,NA,NA
"124","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Other","Male",0,NA,NA,NA
"133","VAR.25...what.is.the.primary.reason.for.planning.to.leave.this.shelter.",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Reunification with family/relatives","Male",18.6551586890071,NA,NA,NA
