"","indicator","p value","test type","dependent.var.value","independent.var.value","numbers","se","min","max"
"251","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Jadimura","Female",0.0505543900132342,NA,NA,NA
"261","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Kutupalong.RC","Female",0.0377226927564089,NA,NA,NA
"271","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Nayapara.EXP","Female",0.0473321139887585,NA,NA,NA
"281","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Nayapara.RC","Female",0.0433223659661867,NA,NA,NA
"291","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Unchiprang","Female",0.0216907102651205,NA,NA,NA
"301","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.10","Male",0.0411549762410232,NA,NA,NA
"312","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.11","Male",0.0415316605029701,NA,NA,NA
"321","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.12","Male",0.0255165427918497,NA,NA,NA
"331","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.13","Male",0.0554858605501197,NA,NA,NA
"341","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.14","Male",0.0390790217814822,NA,NA,NA
"351","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.15","Male",0.0658359048960611,NA,NA,NA
"361","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.16","Male",0.0280227737565143,NA,NA,NA
"371","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.17","Male",0.0110805928203858,NA,NA,NA
"381","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.18","Male",0.0372159867995275,NA,NA,NA
"391","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.19","Male",0.0248072057793541,NA,NA,NA
"401","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.1E","Male",0.0445480368231489,NA,NA,NA
"41","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.1W","Male",0.0535972919670689,NA,NA,NA
"42","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.20","Male",0.00102253792805574,NA,NA,NA
"43","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.2E","Male",0.032524777773333,NA,NA,NA
"44","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.2W","Male",0.0266232214041404,NA,NA,NA
"45","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.3","Male",0.0484343245036777,NA,NA,NA
"46","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.4","Male",0.0377707240957543,NA,NA,NA
"47","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.5","Male",0.0338398733548122,NA,NA,NA
"48","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.6","Male",0.0310196069709454,NA,NA,NA
"49","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.7","Male",0.0572876689752765,NA,NA,NA
"50","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.8E","Male",0.0388032311432051,NA,NA,NA
"51","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.8W","Male",0.049475385755096,NA,NA,NA
"52","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Camp.9","Male",0.0468419755614106,NA,NA,NA
"53","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Chakmarkul","Male",0.018032430887599,NA,NA,NA
"54","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Jadimura","Male",0.0199684293497678,NA,NA,NA
"55","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Kutupalong.RC","Male",0.0133916496324959,NA,NA,NA
"56","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Nayapara.EXP","Male",0.0255394709411758,NA,NA,NA
"57","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Nayapara.RC","Male",0.0257218913421731,NA,NA,NA
"58","enter the survey site ",1.82774055466401e-11,"Pearson's X^2: Rao & Scott adjustment","Unchiprang","Male",0.025826945671576,NA,NA,NA
"113","are you the head of the family ",3.02760101823283e-34,"Pearson's X^2: Rao & Scott adjustment","No","Female",0.0767795366605996,NA,NA,NA
"213","are you the head of the family ",3.02760101823283e-34,"Pearson's X^2: Rao & Scott adjustment","Yes","Female",0.9232204633394,NA,NA,NA
"313","are you the head of the family ",3.02760101823283e-34,"Pearson's X^2: Rao & Scott adjustment","No","Male",0.299609004277199,NA,NA,NA
"412","are you the head of the family ",3.02760101823283e-34,"Pearson's X^2: Rao & Scott adjustment","Yes","Male",0.700390995722801,NA,NA,NA
"114","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Brother","Female",0.00399147332349348,NA,NA,NA
"214","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Daughter","Female",0.200107839626362,NA,NA,NA
"314","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Father","Female",0.0125802446656514,NA,NA,NA
"413","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Husband","Female",0.198111832667645,NA,NA,NA
"511","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Mother","Female",0.183049698630818,NA,NA,NA
"611","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Other","Female",0.0533508827644654,NA,NA,NA
"711","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Sister","Female",0.0802457234222582,NA,NA,NA
"811","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Son","Female",0.128709149975382,NA,NA,NA
"910","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Wife","Female",0.139853154923925,NA,NA,NA
"102","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Brother","Male",0.0111146257727714,NA,NA,NA
"115","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Daughter","Male",0.0252279826664496,NA,NA,NA
"122","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Father","Male",0.0121663495968117,NA,NA,NA
"132","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Husband","Male",0.0144843471421835,NA,NA,NA
"142","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Mother","Male",0.00796845523932298,NA,NA,NA
"152","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Other","Male",5.10879960144983e-05,NA,NA,NA
"162","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Sister","Male",0.0131355931981831,NA,NA,NA
"172","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Son","Male",0.0318714961173113,NA,NA,NA
"182","what is your relationship to the head of family ",2.13914280597756e-47,"Pearson's X^2: Rao & Scott adjustment","Wife","Male",0.883980062270952,NA,NA,NA
"Female1","how many members of the family are there ",1.17234037330988e-18,"two sample ttest on difference in means (two sided)",NA,"Female",4.47377958536574,0.0649984605460768,4.34638494364488,4.60117422708659
"Male1","how many members of the family are there ",1.17234037330988e-18,"two sample ttest on difference in means (two sided)",NA,"Male",5.1653409530138,0.042321850180719,5.08239165090049,5.24829025512711
"116","does this family have infants under 6 months old ",8.15725421245355e-08,"Pearson's X^2: Rao & Scott adjustment","No","Female",0.927579899862745,NA,NA,NA
"215","does this family have infants under 6 months old ",8.15725421245355e-08,"Pearson's X^2: Rao & Scott adjustment","Yes","Female",0.0724201001372551,NA,NA,NA
"315","does this family have infants under 6 months old ",8.15725421245355e-08,"Pearson's X^2: Rao & Scott adjustment","No","Male",0.852197789122117,NA,NA,NA
"414","does this family have infants under 6 months old ",8.15725421245355e-08,"Pearson's X^2: Rao & Scott adjustment","Yes","Male",0.147802210877883,NA,NA,NA
"117","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","2-4 weeks","Female",0.294964687791739,NA,NA,NA
"216","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",0.0221199403764128,NA,NA,NA
"316","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","I don't want to answer","Female",0.00204265606819959,NA,NA,NA
"415","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","Immediately","Female",0.0540997761893866,NA,NA,NA
"512","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","More than one month","Female",0.329681341511596,NA,NA,NA
"612","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","One week","Female",0.297091598062667,NA,NA,NA
"712","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","2-4 weeks","Male",0.359665452389014,NA,NA,NA
"812","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",0.0131004420461054,NA,NA,NA
"911","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","I don't want to answer","Male",0.000876775313090924,NA,NA,NA
"103","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","Immediately","Male",0.0426702742685375,NA,NA,NA
"118","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","More than one month","Male",0.253124844829618,NA,NA,NA
"123","how long did it take between your arrival in bangladesh and your settling in this location ",3.45141823902157e-05,"Pearson's X^2: Rao & Scott adjustment","One week","Male",0.330562211153634,NA,NA,NA
"119","do you and your family intend to leave this shelter in the near future  if so  when ",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",0.00421313540618047,NA,NA,NA
"217","do you and your family intend to leave this shelter in the near future  if so  when ",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","No, we intend to stay","Female",0.973450648118618,NA,NA,NA
"317","do you and your family intend to leave this shelter in the near future  if so  when ",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, but unsure when","Female",0.0194196170513607,NA,NA,NA
"416","do you and your family intend to leave this shelter in the near future  if so  when ",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, within one month","Female",0.00194439961589362,NA,NA,NA
"513","do you and your family intend to leave this shelter in the near future  if so  when ",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, within two months","Female",0.000972199807946811,NA,NA,NA
"613","do you and your family intend to leave this shelter in the near future  if so  when ",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",0.00620816762871559,NA,NA,NA
"713","do you and your family intend to leave this shelter in the near future  if so  when ",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","No, we intend to stay","Male",0.969308693553007,NA,NA,NA
"813","do you and your family intend to leave this shelter in the near future  if so  when ",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, but unsure when","Male",0.0202625260922737,NA,NA,NA
"912","do you and your family intend to leave this shelter in the near future  if so  when ",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, within one month","Male",0.00353052147461064,NA,NA,NA
"104","do you and your family intend to leave this shelter in the near future  if so  when ",0.888731856565993,"Pearson's X^2: Rao & Scott adjustment","Yes, within two months","Male",0.000690091251393314,NA,NA,NA
"120","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Access to basic services / food is perceived to be better elsewhere","Female",0.0612351983713028,NA,NA,NA
"218","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Current location is not safe","Female",0.0937758030123007,NA,NA,NA
"318","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",0.100352928239964,NA,NA,NA
"417","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Other","Female",0.0157958977616883,NA,NA,NA
"514","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Reunification with family/relatives","Female",0.32877199416461,NA,NA,NA
"614","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Shelter is in poor condition","Female",0.368476382926758,NA,NA,NA
"714","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","The family doesn't feel welcome in current location","Female",0.0315917955233767,NA,NA,NA
"814","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","The family was asked to resettle elsewhere","Female",0,NA,NA,NA
"913","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Access to basic services / food is perceived to be better elsewhere","Male",0.0820687510998917,NA,NA,NA
"105","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Current location is not safe","Male",0.204426643752696,NA,NA,NA
"1110","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",0,NA,NA,NA
"124","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Other","Male",0,NA,NA,NA
"133","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Reunification with family/relatives","Male",0.344391968917944,NA,NA,NA
"143","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","Shelter is in poor condition","Male",0.2920119010867,NA,NA,NA
"153","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","The family doesn't feel welcome in current location","Male",0.0537414964498005,NA,NA,NA
"163","what is the primary reason for planning to leave this shelter ",0.538970692297083,"Pearson's X^2: Rao & Scott adjustment","The family was asked to resettle elsewhere","Male",0.0233592386929673,NA,NA,NA
"125","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","I don't know","Female",0,NA,NA,NA
"219","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","Return to Myanmar","Female",0.0298521592060101,NA,NA,NA
"319","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","To another country","Female",0.100352928239964,NA,NA,NA
"418","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","To another shelter within the current zone/settlement/camp","Female",0.583002216181967,NA,NA,NA
"515","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","To another town in Bangladesh outside of Cox's Bazar District","Female",0.15865483214383,NA,NA,NA
"615","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","To another zone/settlement/camp in Cox's Bazar District","Female",0.128137864228229,NA,NA,NA
"715","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","I don't know","Male",0.0254680163096241,NA,NA,NA
"815","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","Return to Myanmar","Male",0.303203417083243,NA,NA,NA
"914","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","To another country","Male",0,NA,NA,NA
"106","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","To another shelter within the current zone/settlement/camp","Male",0.644033748512905,NA,NA,NA
"1111","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","To another town in Bangladesh outside of Cox's Bazar District","Male",0,NA,NA,NA
"126","where do you and your family intend to leave to in the near future ",0.018306804826419,"Pearson's X^2: Rao & Scott adjustment","To another zone/settlement/camp in Cox's Bazar District","Male",0.027294818094228,NA,NA,NA
"127","what is the main source of water for your family ",0.654116922261064,"Pearson's X^2: Rao & Scott adjustment","Cart with small tank/drum","Female",0.0124123490200336,NA,NA,NA
"220","what is the main source of water for your family ",0.654116922261064,"Pearson's X^2: Rao & Scott adjustment","Piped water into the settlement/public tap/standpipe","Female",0.0795859567820562,NA,NA,NA
"320","what is the main source of water for your family ",0.654116922261064,"Pearson's X^2: Rao & Scott adjustment","Piped water into the shelter","Female",0.0143704570479077,NA,NA,NA
"419","what is the main source of water for your family ",0.654116922261064,"Pearson's X^2: Rao & Scott adjustment","Protected dug well","Female",0.00456092544269739,NA,NA,NA
"516","what is the main source of water for your family ",0.654116922261064,"Pearson's X^2: Rao & Scott adjustment","Protected spring","Female",0,NA,NA,NA
"616","what is the main source of water for your family ",0.654116922261064,"Pearson's X^2: Rao & Scott adjustment","Rainwater collection","Female",0,NA,NA,NA
