"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"46","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Salah al-Din",0,NA,0,0,"idp_ref","idp",NA,NA
"47","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Sulaymaniyah",0.0404411764705882,NA,0.0170240146891039,0.0638583382520726,"idp_ref","idp",NA,NA
"48","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Thi-Qar",0.0135135135135135,NA,0,0.0398273921068725,"idp_ref","idp",NA,NA
"49","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Anbar",0,NA,0,0,"idp_ref","idp",NA,NA
"50","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Baghdad",0,NA,0,0,"idp_ref","idp",NA,NA
"51","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Basrah",0,NA,0,0,"idp_ref","idp",NA,NA
"52","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Dahuk",0.0153846153846154,NA,0,0.0365475539078204,"idp_ref","idp",NA,NA
"53","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Diyala",0,NA,0,0,"idp_ref","idp",NA,NA
"54","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Erbil",0.0227272727272727,NA,0,0.0481583994436474,"idp_ref","idp",NA,NA
"55","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Kerbala",0,NA,0,0,"idp_ref","idp",NA,NA
"56","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Kirkuk",0.00416666666666667,NA,0,0.0123184589354135,"idp_ref","idp",NA,NA
"57","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Missan",0,NA,0,0,"idp_ref","idp",NA,NA
"58","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Muthanna",0,NA,0,0,"idp_ref","idp",NA,NA
"59","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Najaf",0,NA,0,0,"idp_ref","idp",NA,NA
"60","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Ninewa",0,NA,0,0,"idp_ref","idp",NA,NA
"61","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Qadissiya",0,NA,0,0,"idp_ref","idp",NA,NA
"62","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Salah al-Din",0,NA,0,0,"idp_ref","idp",NA,NA
"63","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Sulaymaniyah",0.0183823529411765,NA,0.00241406729021463,0.0343506385921383,"idp_ref","idp",NA,NA
"64","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Thi-Qar",0,NA,0,0,"idp_ref","idp",NA,NA
"1100","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Baghdad",0,NA,0,0,"idp_ref","refugee",NA,NA
"210","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Basrah",0.12,NA,0,0.247452706747856,"idp_ref","refugee",NA,NA
"310","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Dahuk",0.16030534351145,NA,0.11585540577139,0.204755281251511,"idp_ref","refugee",NA,NA
"410","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Erbil",0.253424657534247,NA,0.203506684986776,0.303342630081718,"idp_ref","refugee",NA,NA
"510","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Kirkuk",0.277777777777778,NA,0.070746945016123,0.484808610539433,"idp_ref","refugee",NA,NA
"610","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Missan",0,NA,0,0,"idp_ref","refugee",NA,NA
"710","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Najaf",0,NA,0,0,"idp_ref","refugee",NA,NA
"810","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Ninewa",0,NA,0,0,"idp_ref","refugee",NA,NA
"910","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Qadissiya",0,NA,0,0,"idp_ref","refugee",NA,NA
"1010","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Sulaymaniyah",0.174061433447099,NA,0.130622570478632,0.217500296415566,"idp_ref","refugee",NA,NA
"1110","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Very satisfied","Thi-Qar",0.125,NA,0,0.354298465243646,"idp_ref","refugee",NA,NA
"1210","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Baghdad",0,NA,0,0,"idp_ref","refugee",NA,NA
"1310","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Basrah",0,NA,0,0,"idp_ref","refugee",NA,NA
"1410","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Dahuk",0.0152671755725191,NA,0.00041209471543914,0.030122256429599,"idp_ref","refugee",NA,NA
"1510","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Erbil",0.023972602739726,NA,0.00641827181388616,0.0415269336655659,"idp_ref","refugee",NA,NA
"1610","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Kirkuk",0,NA,0,0,"idp_ref","refugee",NA,NA
"1710","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Missan",0,NA,0,0,"idp_ref","refugee",NA,NA
"1810","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Najaf",0,NA,0,0,"idp_ref","refugee",NA,NA
"1910","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Ninewa",0,NA,0,0,"idp_ref","refugee",NA,NA
"205","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Qadissiya",0,NA,0,0,"idp_ref","refugee",NA,NA
"211","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Sulaymaniyah",0.0238907849829352,NA,0.00639563320962673,0.0413859367562436,"idp_ref","refugee",NA,NA
"221","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Not satisfied","Thi-Qar",0,NA,0,0,"idp_ref","refugee",NA,NA
"231","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Baghdad",1,NA,1,1,"idp_ref","refugee",NA,NA
"241","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Basrah",0.88,NA,0.752547293252144,1,"idp_ref","refugee",NA,NA
"251","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Dahuk",0.801526717557252,NA,0.753204540692682,0.849848894421822,"idp_ref","refugee",NA,NA
"261","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Erbil",0.678082191780822,NA,0.624464346999777,0.731700036561866,"idp_ref","refugee",NA,NA
"271","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Kirkuk",0.722222222222222,NA,0.515191389460567,0.929253054983877,"idp_ref","refugee",NA,NA
"281","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Missan",1,NA,1,1,"idp_ref","refugee",NA,NA
"291","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Najaf",1,NA,1,1,"idp_ref","refugee",NA,NA
"301","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Ninewa",1,NA,1,1,"idp_ref","refugee",NA,NA
"311","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Qadissiya",1,NA,1,1,"idp_ref","refugee",NA,NA
"321","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Sulaymaniyah",0.74061433447099,NA,0.690400620904981,0.790828048036999,"idp_ref","refugee",NA,NA
"331","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Satisfied","Thi-Qar",0.875,NA,0.645701534756354,1,"idp_ref","refugee",NA,NA
"341","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Baghdad",0,NA,0,0,"idp_ref","refugee",NA,NA
"351","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Basrah",0,NA,0,0,"idp_ref","refugee",NA,NA
"361","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Dahuk",0.0229007633587786,NA,0.00477773461573923,0.041023792101818,"idp_ref","refugee",NA,NA
"371","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Erbil",0.0445205479452055,NA,0.0208511828294721,0.0681899130609389,"idp_ref","refugee",NA,NA
"381","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Kirkuk",0,NA,0,0,"idp_ref","refugee",NA,NA
"391","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Missan",0,NA,0,0,"idp_ref","refugee",NA,NA
"401","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Najaf",0,NA,0,0,"idp_ref","refugee",NA,NA
"411","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Ninewa",0,NA,0,0,"idp_ref","refugee",NA,NA
"421","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Qadissiya",0,NA,0,0,"idp_ref","refugee",NA,NA
"431","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Sulaymaniyah",0.0614334470989761,NA,0.0339235936188144,0.0889433005791378,"idp_ref","refugee",NA,NA
"441","How satisfied were you with the distribution process of the cash assistance?","In which governorate do you currently live?","Somewhat satisfied","Thi-Qar",0,NA,0,0,"idp_ref","refugee",NA,NA
"1101","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Anbar",1,NA,1,1,"idp_ref","idp",NA,NA
"212","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Baghdad",1,NA,1,1,"idp_ref","idp",NA,NA
"312","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Basrah",0.978723404255319,NA,0.954897877140325,1,"idp_ref","idp",NA,NA
"412","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Dahuk",0.992307692307692,NA,0.977284893782556,1,"idp_ref","idp",NA,NA
"511","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Diyala",0.98989898989899,NA,0.970196039587558,1,"idp_ref","idp",NA,NA
"611","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Erbil",0.946969696969697,NA,0.908730026080267,0.985209367859127,"idp_ref","idp",NA,NA
"711","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Kerbala",1,NA,1,1,"idp_ref","idp",NA,NA
"811","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Kirkuk",0.991666666666667,NA,0.98016243470316,1,"idp_ref","idp",NA,NA
"911","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Missan",0.985074626865672,NA,0.956032342072116,1,"idp_ref","idp",NA,NA
"1011","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Muthanna",1,NA,1,1,"idp_ref","idp",NA,NA
"1111","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Najaf",0.8,NA,0.449291731391942,1,"idp_ref","idp",NA,NA
"1211","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Ninewa",0.996503496503496,NA,0.989660530278181,1,"idp_ref","idp",NA,NA
"1311","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Qadissiya",1,NA,1,1,"idp_ref","idp",NA,NA
"1411","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Salah al-Din",0.981818181818182,NA,0.956842988185811,1,"idp_ref","idp",NA,NA
"1511","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Sulaymaniyah",0.974264705882353,NA,0.955441672299574,0.993087739465131,"idp_ref","idp",NA,NA
"1611","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Easy (no difficulties)","Thi-Qar",1,NA,1,1,"idp_ref","idp",NA,NA
"1711","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Somewhat easy (experienced one or two difficulties, but overall easy)","Anbar",0,NA,0,0,"idp_ref","idp",NA,NA
"1811","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Somewhat easy (experienced one or two difficulties, but overall easy)","Baghdad",0,NA,0,0,"idp_ref","idp",NA,NA
"1911","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Somewhat easy (experienced one or two difficulties, but overall easy)","Basrah",0.0212765957446809,NA,0,0.0451021228596746,"idp_ref","idp",NA,NA
"206","How easy did you find it for you to collect your cash assistance?","In which governorate do you currently live?","Somewhat easy (experienced one or two difficulties, but overall easy)","Dahuk",0.00769230769230769,NA,0,0.0227151062174436,"idp_ref","idp",NA,NA
