"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var120","How old is the head of the household?","What is the displacement status of most members of this household? ",NA,"IDP",51.1904761904762,NA,48.3741796241026,54.0067727568498,"mantika","LY0106"
"1","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.948453608247423,NA,0.904363645056539,0.992543571438306,"mantika","LY0213"
"2","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.932835820895522,NA,0.89037019930186,0.975301442489185,"mantika","LY0213"
"3","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.842105263157895,NA,0.677816205308091,1,"mantika","LY0213"
"4","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0515463917525773,NA,0.00745642856169408,0.0956363549434606,"mantika","LY0213"
"5","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0671641791044776,NA,0.0246985575108149,0.10962980069814,"mantika","LY0213"
"6","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.157894736842105,NA,0,0.322183794691909,"mantika","LY0213"
"110","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.958762886597938,NA,0.919121117727328,0.998404655468548,"mantika","LY0105"
"25","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.959016393442623,NA,0.92377303040267,0.994259756482576,"mantika","LY0105"
"31","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",1,NA,1,1,"mantika","LY0105"
"41","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0412371134020619,NA,0.00159534453145208,0.0808788822726716,"mantika","LY0105"
"51","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0409836065573771,NA,0.00574024351742411,0.07622696959733,"mantika","LY0105"
"61","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0,NA,0,0,"mantika","LY0105"
"111","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.947368421052632,NA,0.902397268691281,0.992339573413982,"mantika","LY0103"
"26","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.920634920634921,NA,0.873364839878586,0.967905001391255,"mantika","LY0103"
"32","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.981132075471698,NA,0.955191115897537,1,"mantika","LY0103"
"42","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0526315789473684,NA,0.00766042658601816,0.0976027313087187,"mantika","LY0103"
"52","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0793650793650794,NA,0.0320949986087446,0.126635160121414,"mantika","LY0103"
"62","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.0188679245283019,NA,0,0.0448088841024626,"mantika","LY0103"
"112","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.201923076923077,NA,0.124603610635819,0.279242543210335,"mantika","LY0319"
"27","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.10655737704918,NA,0.0516873288022457,0.161427425296115,"mantika","LY0319"
"33","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0,NA,0,0,"mantika","LY0319"
"43","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.798076923076923,NA,0.720757456789666,0.875396389364181,"mantika","LY0319"
"53","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.89344262295082,NA,0.838572574703885,0.948312671197754,"mantika","LY0319"
"63","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",1,NA,1,1,"mantika","LY0319"
"113","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.980392156862745,NA,0.953444938112519,1,"mantika","LY0214"
"28","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.925373134328358,NA,0.88081234729942,0.969933921357297,"mantika","LY0214"
"34","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.969387755102041,NA,0.935230534535988,1,"mantika","LY0214"
"44","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0196078431372549,NA,0,0.0465550618874809,"mantika","LY0214"
"54","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0746268656716418,NA,0.0300660786427034,0.11918765270058,"mantika","LY0214"
"64","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.0306122448979592,NA,0,0.0647694654640123,"mantika","LY0214"
"114","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",1,NA,1,1,"mantika","LY0212"
"29","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.992537313432836,NA,0.977942994474844,1,"mantika","LY0212"
"35","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.98,NA,0.952518322030455,1,"mantika","LY0212"
"45","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0,NA,0,0,"mantika","LY0212"
"55","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.00746268656716418,NA,0,0.0220570055251558,"mantika","LY0212"
"65","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.02,NA,0,0.0474816779695448,"mantika","LY0212"
"115","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.8125,NA,0.620358839494762,1,"mantika","LY0208"
"210","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.705882352941176,NA,0.552011867045154,0.859752838837199,"mantika","LY0208"
"36","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.931034482758621,NA,0.865517639329392,0.996551326187849,"mantika","LY0208"
"46","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.1875,NA,0,0.379641160505238,"mantika","LY0208"
"56","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.294117647058824,NA,0.140247161162801,0.447988132954846,"mantika","LY0208"
"66","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.0689655172413793,NA,0.00344867381215061,0.134482360670608,"mantika","LY0208"
"116","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.841584158415842,NA,0.770250677633476,0.912917639198207,"mantika","LY0321"
"211","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.930434782608696,NA,0.883855140790714,0.977014424426677,"mantika","LY0321"
"37","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.873239436619718,NA,0.795715539022565,0.950763334216872,"mantika","LY0321"
"47","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.158415841584158,NA,0.0870823608017929,0.229749322366524,"mantika","LY0321"
"57","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0695652173913043,NA,0.0229855755733233,0.116144859209285,"mantika","LY0321"
"67","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.126760563380282,NA,0.0492366657831281,0.204284460977435,"mantika","LY0321"
"dependent.var39","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","NA",1,NA,NA,NA,"mantika","LY0215"
"117","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.908163265306122,NA,0.850893608163769,0.965432922448476,"mantika","LY0107"
"212","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.894736842105263,NA,0.842496323974166,0.94697736023636,"mantika","LY0107"
"38","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.8875,NA,0.81814737764743,0.95685262235257,"mantika","LY0107"
"48","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0918367346938775,NA,0.0345670775515241,0.149106391836231,"mantika","LY0107"
"58","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.105263157894737,NA,0.0530226397636401,0.157503676025834,"mantika","LY0107"
"68","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.1125,NA,0.0431473776474301,0.18185262235257,"mantika","LY0107"
"118","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",1,NA,1,1,"mantika","LY0104"
"213","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.959016393442623,NA,0.923747079810512,0.994285707074735,"mantika","LY0104"
"39","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0,NA,0,0,"mantika","LY0104"
"49","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0409836065573771,NA,0.0057142929252656,0.0762529201894885,"mantika","LY0104"
"119","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",1,NA,1,1,"mantika","LY0216"
"214","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.992537313432836,NA,0.97794264473021,1,"mantika","LY0216"
"310","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.99,NA,0.970468157419962,1,"mantika","LY0216"
"410","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0,NA,0,0,"mantika","LY0216"
"59","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.00746268656716418,NA,0,0.0220573552697898,"mantika","LY0216"
"69","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.01,NA,0,0.0295318425800376,"mantika","LY0216"
"120","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.918918918918919,NA,0.85659530001016,0.981242537827678,"mantika","LY0318"
"215","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.9,NA,0.848320329033434,0.951679670966566,"mantika","LY0318"
"311","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.78125,NA,0.637712883255859,0.924787116744141,"mantika","LY0318"
"411","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0810810810810811,NA,0.0187574621723222,0.14340469998984,"mantika","LY0318"
"510","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.1,NA,0.0483203290334338,0.151679670966566,"mantika","LY0318"
"610","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.21875,NA,0.0752128832558588,0.362287116744141,"mantika","LY0318"
"121","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.78021978021978,NA,0.694980668018864,0.865458892420696,"mantika","LY0322"
"216","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.908396946564885,NA,0.858907340798141,0.95788655233163,"mantika","LY0322"
"312","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.893617021276596,NA,0.805305026536091,0.9819290160171,"mantika","LY0322"
"412","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.21978021978022,NA,0.134541107579304,0.305019331981136,"mantika","LY0322"
"511","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0916030534351145,NA,0.04211344766837,0.141092659201859,"mantika","LY0322"
"611","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.106382978723404,NA,0.0180709839828997,0.194694973463909,"mantika","LY0322"
"122","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.986842105263158,NA,0.961162115953373,1,"mantika","LY0102"
"217","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.865671641791045,NA,0.807796423117705,0.923546860464384,"mantika","LY0102"
"313","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0131578947368421,NA,0,0.0388378840466275,"mantika","LY0102"
"413","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.134328358208955,NA,0.0764531395356157,0.192203576882295,"mantika","LY0102"
"123","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.852631578947368,NA,0.781242087755292,0.924021070139445,"mantika","LY0211"
"218","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.834586466165413,NA,0.771344038066573,0.897828894264254,"mantika","LY0211"
"314","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.878787878787879,NA,0.814399035282699,0.943176722293059,"mantika","LY0211"
"414","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.147368421052632,NA,0.0759789298605547,0.218757912244708,"mantika","LY0211"
"512","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.165413533834586,NA,0.102171105735746,0.228655961933427,"mantika","LY0211"
"612","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.121212121212121,NA,0.0568232777069415,0.185600964717301,"mantika","LY0211"
"124","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.903225806451613,NA,0.843046158579149,0.963405454324077,"mantika","LY0320"
"219","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.888059701492537,NA,0.834594023308331,0.941525379676744,"mantika","LY0320"
"315","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.94,NA,0.893382098563925,0.986617901436075,"mantika","LY0320"
"415","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0967741935483871,NA,0.0365945456759233,0.156953841420851,"mantika","LY0320"
"513","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.111940298507463,NA,0.058474620323256,0.165405976691669,"mantika","LY0320"
"613","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.06,NA,0.013382098563925,0.106617901436075,"mantika","LY0320"
"125","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.932432432432432,NA,0.875104439323631,0.989760425541234,"mantika","LY0317"
"220","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.916666666666667,NA,0.869402402431068,0.963930930902265,"mantika","LY0317"
"316","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0675675675675676,NA,0.0102395744587664,0.124895560676369,"mantika","LY0317"
"416","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.0833333333333333,NA,0.036069069097735,0.130597597568932,"mantika","LY0317"
"126","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.928571428571428,NA,0.850531479242741,1,"mantika","LY0101"
"221","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.948051948051948,NA,0.898386618515239,0.997717277588657,"mantika","LY0101"
"317","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Returnee",0.927007299270073,NA,0.883363857400251,0.970650741139895,"mantika","LY0101"
"417","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.0714285714285714,NA,0,0.149468520757259,"mantika","LY0101"
"514","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.051948051948052,NA,0.00228272241134329,0.101613381484761,"mantika","LY0101"
"614","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Returnee",0.072992700729927,NA,0.0293492588601054,0.116636142599749,"mantika","LY0101"
"127","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","IDP",0.887640449438202,NA,0.821881180397131,0.953399718479273,"mantika","LY0106"
"222","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Male","Non-Displaced",0.924812030075188,NA,0.879895775394519,0.969728284755857,"mantika","LY0106"
"318","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","IDP",0.112359550561798,NA,0.0466002815207267,0.178118819602869,"mantika","LY0106"
"418","What is the sex of the head of household?","What is the displacement status of most members of this household? ","Female","Non-Displaced",0.075187969924812,NA,0.0302717152441427,0.120104224605481,"mantika","LY0106"
"128","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","1. Ownership ","IDP",0.381443298969072,NA,0.284584895187135,0.478301702751009,"mantika","LY0213"
"223","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","1. Ownership ","Non-Displaced",0.970149253731343,NA,0.941278182642952,0.999020324819734,"mantika","LY0213"
"319","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","1. Ownership ","Returnee",0.947368421052632,NA,0.84676233053898,1,"mantika","LY0213"
"419","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","2. Rental (with written contract)","IDP",0.154639175257732,NA,0.082542809030883,0.226735541484581,"mantika","LY0213"
"515","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","2. Rental (with written contract)","Non-Displaced",0.0149253731343284,NA,0,0.0354967418151321,"mantika","LY0213"
"615","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","2. Rental (with written contract)","Returnee",0,NA,0,0,"mantika","LY0213"
"7","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","3. Rental (with verbal agreement)","IDP",0.195876288659794,NA,0.116738315667587,0.275014261652001,"mantika","LY0213"
"8","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","3. Rental (with verbal agreement)","Non-Displaced",0.00746268656716418,NA,0,0.0220638359680606,"mantika","LY0213"
"9","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","3. Rental (with verbal agreement)","Returnee",0,NA,0,0,"mantika","LY0213"
"10","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","4. Being hosted for free","IDP",0.247422680412371,NA,0.16137723811446,0.333468122710282,"mantika","LY0213"
"11","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","4. Being hosted for free","Non-Displaced",0,NA,0,0,"mantika","LY0213"
"12","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","4. Being hosted for free","Returnee",0,NA,0,0,"mantika","LY0213"
"13","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","6. Housing provided by public authority","IDP",0.0103092783505155,NA,0,0.0304509929056074,"mantika","LY0213"
"14","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","6. Housing provided by public authority","Non-Displaced",0,NA,0,0,"mantika","LY0213"
"15","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","6. Housing provided by public authority","Returnee",0,NA,0,0,"mantika","LY0213"
"16","How would you describe your household's occupancy status?","What is the displacement status of most members of this household? ","9. Prefer not to answer","IDP",0.0103092783505155,NA,0,0.0304509929056074,"mantika","LY0213"
