type,label,name,hint,required,relevant,appearance,constraint,constraint_message,choice_filter,calculation,kuid
select_one_external settlements_idp,settlement,What is the name of the settlement?,Sheeg magaca xaafada/tuullada/kaamka ama magaca meel u dhow meesha xogta lagu aruurinaayo,TRUE,,,,,district=${district},,
text,settlement_other,If otherCOMMA please specify,Wax kaleCOMMA fadlan qeex:,TRUE,"selected(${settlement}COMMA""other"")",,,,,,
select_one yes_no,idp_settlement,Is this an IDP settlement?,Goobtaan ma tahay xero dad barakacayaal ay dagan yihiin?,TRUE,,,,,,,
end_group,,,,,,,,,,,
begin_group,B,Household demographics,WARBIXINTA QOYSKA,,,,,,,,
select_one male_female,resp_gender,What is the gender of the respondent?,Sheeg jinsiga qofka kuu jawaabayo?,TRUE,,,,,,,
select_one age,respondent_age,What is the age of the respondent? (For respondents between the age of 12 and 17 please ensure an adult/guardian is present),Sheeg da'da qofka kuu jawaabayo?,TRUE,,,,,,,
select_one breadwinner,breadwinner,Who is the main breadwinner of the household?,Yaa ka mas'uul ah qoyska?,TRUE,,,,,,,
select_multiple breadwinner,household_expenditure,Who decides on household expenditure?,Yaa go'aamiya isticmaalka/kharashaadka reerka?,TRUE,,,,,,,
select_one yes_no,hh_children,Are there children (aged 0 -17 years) in your household?,Qoyska ma joogaan caruur da'doodu ay ka yar tahay 17 sano?,TRUE,,,,,,,
note,note_hh_demographics,Please give the number of household members in this household in each age and gender groupCOMMA _INCLUDING THE RESPONDENT_,Fadlan sheeg tirada qoyskaaga ee halkaan ku suganCOMMA adigoo u kala soocaya da'da iyo jinsiga qof walba. _QOFKA KUU JAWAABAYO WAA INUU XISAABTA KU TIRSAN YAHAY_,FALSE,,,,,,,
begin group,demog_list,,,,,field-list,,,,,
integer,males_0_6m,Males 0-6 months,Rag 0-6 bil jir ah,TRUE,"selected(${hh_children}COMMA""yes"")",,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,females_0_6m,Females 0-6 months,Dumar 0-6 bil jir ah,TRUE,"selected(${hh_children}COMMA""ye^s"")",,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,males_6m_4y,Males 7 months - 4 years,Rag 7 bil ilaa 4 sano jir ah,TRUE,"selected(${hh_children}COMMA""yes"")",,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,females_6m_4y,Females 7 months - 4 years,Dumar 7 bil ilaa 4 sano jir ah,TRUE,"selected(${hh_children}COMMA""yes"")",,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,males_5_12,Males 5-12 years,Rag 5-12 sano jir ah,TRUE,"selected(${hh_children}COMMA""yes"")",,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,females_5_12,Females 5-12 years,Dumar 5-12 sano jir ah,TRUE,"selected(${hh_children}COMMA""yes"")",,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,males_13_15,Males 13-15 years,Rag 13-15 sano jir ah,TRUE,"selected(${hh_children}COMMA""yes"")",,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,females_13_15,Females 13-15 years,Dumar 13-15 sano jir ah,TRUE,"selected(${hh_children}COMMA""yes"")",,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,males_16_17,Males 16-17 years,Rag 16-17 sano jir ah,TRUE,"selected(${hh_children}COMMA""yes"")",,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,females_16_17,Females 16-17 years,Dumar 16-17 sano jir ah,TRUE,"selected(${hh_children}COMMA""yes"")",,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,males_18_40,Males 18-40 years,Rag 18-40 sano jir ah,TRUE,,,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,females_18_40,Females 18-40 years,Dumar 18-40 sano jir ah,TRUE,,,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,males_41_59,Males 41-59 years,Rag 41-59 sano jir ah,TRUE,,,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,females_41_59,Females 41-59 years,Dumar 41-59 sano jir ah,TRUE,,,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,males_60_over,Males 60 or older,Rag 60 sano jir ah ama ka weyn,TRUE,,,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
integer,females_60_over,Females 60 or older,Dumar 60 sano jir ah ama ka weyn,TRUE,,,.>=0 and .<=20,Must be a positive numberCOMMA and less than 20,,,
end group,,,,,,,,,,,
calculate,total_hh,,,,,,,,,${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y}+${males_5_12}+${females_5_12}+${males_13_15}+${females_13_15}+${males_16_17}+${females_16_17}+${males_18_40}+${females_18_40}+${males_41_59}+${females_41_59}+${males_60_over}+${females_60_over},
calculate,children_vaccine_age,,,,,,,,,${males_6m_4y}+${females_6m_4y}+${males_5_12}+${females_5_12}+${males_13_15}+${females_13_15},
calculate,total_children,,,,,,,,,${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y}+${males_5_12}+${females_5_12}+${males_13_15}+${females_13_15}+${males_16_17}+${females_16_17},
calculate,total_males,,,,,,,,,${males_0_6m}+${males_6m_4y}+${males_5_12}+${males_13_15}+${males_16_17}+${males_18_40}+${males_41_59}+${males_60_over},
calculate,total_females,,,,,,,,,${females_0_6m}+${females_6m_4y}+${females_5_12}+${females_13_15}+${females_16_17}+${females_18_40}+${females_41_59}+${females_60_over},
calculate,boys_u5,,,,,,,,,${males_0_6m}+${males_6m_4y},
calculate,girls_u5,,,,,,,,,${females_0_6m}+${females_6m_4y},
calculate,boys_a5,,,,,,,,,${males_5_12}+${males_13_15}+${males_16_17},
calculate,girls_a5,,,,,,,,,${females_5_12}+${females_13_15}+${females_16_17},
select_one yes_no,total_hh_confirm,Please confirm the total number of household members is ${total_hh},Fadlan iska hubi wadarta guud ee tirada qoyskaaga inay tahay ${total_hh},TRUE,,,not(selected(.COMMA'no')),If the total number of HH members is incorrectCOMMA please review the demographics section for errors,,,
note,note_vulnerability,How many of the following vulnerable people are in the household currently?,Imisa qof oo qoyska ka tirsan ayaa ah ama leh tilmaamaha soo socda:,,,,,,,,
begin group,vuln_type,,,,,field-list,,,,,
integer,plw,Pregnant or lactating women,Hooyo uur leh ama nuujineysa,TRUE,${females_13_15}>0 or ${females_16_17}>0 or ${females_18_40}>0,,.<=${females_13_15}+${females_16_17}+${females_18_40},Should be less than or equal to total females in the age of 13-40 years old,,,
integer,disabled_chronic,Persons with disability or chronic illness,Qof naafo ah ama qaba cudurada raaga (SokortaCOMMA dhiigkarCOMMA iwm),TRUE,,,.<=${total_hh},Should be less than or equal to total members of the household,,,
integer,sick_children,Sick children,Caruur xanuusan,TRUE,${boys_u5}>0 or ${boys_a5}>0 or ${girls_u5}>0 or ${girls_a5}>0,,.<=${total_children},Should be less than or equal to total children in the household,,,
integer,stress_members,Members suffering from psychological stress,Dad ka cabanaya welwel nafsaani ah,TRUE,,,.<=${total_hh},Should be less than or equal to total members of the household,,,
integer,uasc,Unaccompanied or separated children,Caruur aan lala socon ama ka soocmay dadkooda/qosykooda,TRUE,${boys_u5}>0 or ${boys_a5}>0 or ${girls_u5}>0 or ${girls_a5}>0,,.<=${total_children},Should be less than or equal to total children in the household,,,
end_group,,,,,,,,,,,
note,note_vuln_gender,If there are vulnerable peopleCOMMA please give more details of genderCOMMA PLEASE CONFIRM THE VALUES BEFORE YOU PROCEED!,Haddii ay jiraan dad liitaCOMMA fadlan u kala sheeg jinsi ahaanCOMMA FADLAN ISKA HUBI TIROOYINKA INTAADAN KA GUDBIN!,,${disabled_chronic}>0 or ${sick_children}>0 or ${stress_members}>0 or ${uasc}>0,,,,,,
begin group,vuln_disagg.,,,,,field-list,,,,,
integer,disabled_chronic_male,Males with disability or chronic illness,Rag naafo ah ama qaba cudurada raaga,TRUE,${disabled_chronic}>0,,.<=${total_males},Should be less than or equal to total males in the household,,,
integer,disabled_chronic_female,Females with disability or chronic illness,Dumar naafo ah ama qabta cudurada raaga,TRUE,${disabled_chronic}>0,,(${disabled_chronic_male}+${disabled_chronic_female}=${disabled_chronic}) and .<=${total_females},Total of males and females with diability or chronic illness should be equal to total members in the household with disability and chronic illness AND/OR females with diasbility should be less than or equal to total females in the household,,,
integer,sick_boys_under5,Sick male child under 5,Wiilal xanuunsan,TRUE,${sick_children}>0,,.<=${boys_u5},Should be less than or equal to total number of under 5 boys in the household,,,
integer,sick_girls_under5,Sick female child under 5,Gabdho xanuunsan,TRUE,${sick_children}>0 ,,(${sick_children}=${sick_boys_under5}+${sick_girls_under5}) and .<=${girls_u5},Total of sick boys and girls should be equal to total sick children in the household AND/OR sick girls under 5 should be less than or equal to total number of under 5 boys in the household,,,
integer,stress_boys,Boys suffering from psychological stress,Wiilal qaba welwel nafsaani ah,TRUE,${stress_members}>0,,.<=(${boys_u5}+${boys_a5}),Should be less than or equal to number of boys in the household,,,
integer,stress_girls,Girls suffering from psychological stress,Gabdho qaba welwel nafsaani ah,TRUE,${stress_members}>0,,.<=(${girls_u5}+${girls_a5}),Should be less than or equal to number of girls in the household,,,
integer,stress_men,Adult males suffering from psychological stress,Rag qaangaar ah oo qaba welwel nafsaani ah,TRUE,${stress_members}>0,,.<=(${males_18_40}+${males_41_59}+${males_60_over}),Should be less than or equal to number of adult males in the household,,,
integer,stress_women,Adult females suffering from psychological stress,Dumar qaangaar ah oo qabta welwel nafsaani ah,TRUE,${stress_members}>0,,${stress_members}=(${stress_boys}+${stress_girls}+${stress_men}+${stress_women}) and .<=(${females_18_40}+${females_41_59}+${females_60_over}),Total of sick boys and girls should be equal to total sick children in the household AND/OR stress women should be less than or equal to number of adult females in the household,,,
integer,uasc_boys,Unaccompanied or separated boys,Wiilal aan lala socon ama ka dhumay dadkooda,TRUE,${uasc}>0,,.<=(${boys_u5}+${boys_a5}),Should be less than or equal total number of boys in the household,,,
integer,uasc_girls,Unaccompanied or separated girls,Gabdho aan lala socon ama ka dhumay dadkooda,TRUE,${uasc}>0,,(${uasc}=${uasc_boys}+${uasc_girls}) and .<=(${girls_u5}+${girls_a5}),Total of unaccompanied or sepearted boys and girls should be equal to total UASC children in the household AND/OR UASC girls should be less than or equal total number of girls in the household,,,
end group,,,,,,,,,,,
end_group,,,,,,,,,,,
begin_group,C,Displacement ,BARAKACA/BARAKICIDA,,,,,,,,
select_one yes_no,household_origin,Is your household originally from this location?,Qoyskaaga xaguu kasoo jeedaa asal ahaan?,TRUE,,,,,,,
select_one yes_no,yes_no_host,Have you always lived in this location?,Meeshaan miyaa ku nooleyd waligaa?,TRUE,,,,,,,
begin_group,idp,Internally displaced,Qof barakace ah,,,,,,,,
select_one yes_no,yes_no_idp,Have you moved from another location in Somalia?,Meel kale oo Somalia ka tirsan miyaad guurtay?,TRUE,"selected(${yes_no_host}COMMA""no"")",,,,,,
select_one region,region_idp,What is your region of origin?,Gobolkee kasoo jeedaa?,TRUE,"selected(${yes_no_idp}COMMA""yes"") and selected(${yes_no_host}COMMA""no"")",,,,,,
select_one district,district_idp,What is your district of origin?,Degmadee kasoo jeedaa?,TRUE,"selected(${yes_no_idp}COMMA""yes"") and selected(${yes_no_host}COMMA""no"")",,,,region=${region_idp},,
select_one_external settlements,settlement_idp,What is your settlement of origin?,Deegaankee kasoo jeedaa?,TRUE,"selected(${yes_no_idp}COMMA""yes"") and selected(${yes_no_host}COMMA""no"")",,,,district=${district_idp},,
text,settlement_idp_other,Please enter the name of the townCOMMA village or neighbourhood,Fadlan qor magaca magaaladaCOMMA tuullada ama xaafada,TRUE,"selected(${yes_no_idp}COMMA""yes"") and selected(${settlement_idp}COMMA""other"")",,,,,,
end_group,,,,,,,,,,,
begin_group,returnee,Returnee,Qaxooti (Qof Soomaali ah) kasoo laabte,,,,,,,,
select_one yes_no,yes_no_returnee,Are you a Somali returning to Somalia from another country?,Miyaad tahay qof Soomaali ah oo kusoo laabanaya wadanka?,TRUE,"selected(${yes_no_host}COMMA""no"") and selected(${yes_no_idp}COMMA""no"")",,,,,,
select_one return_country,returnee_country,From which country is the household returning?,Wadankee ayee qoyskaaga kasoo noqonayaan?,TRUE,"selected(${yes_no_host}COMMA""no"") and selected(${yes_no_idp}COMMA""no"") and selected(${yes_no_returnee}COMMA""yes"")",,,,,,
text,returnee_country_other,If otherCOMMA please specify,Wax kaleCOMMA fadlan qeex:,TRUE,"selected(${returnee_country}COMMA""other"") and selected(${yes_no_host}COMMA""no"")",,,,,,
select_one return_area,returnee_area,From which area of ${returnee_country} is the household returning?,${returnee_country} dhinacee ayee qoyskaaga kasoo noqonayaan? ,TRUE," selected(${returnee_country}COMMA""ethiopia"") or selected(${returnee_country}COMMA""kenya"")",,,,country=${returnee_country},,
text,returnee_area_other,If otherCOMMA please specify,Wax kaleCOMMA fadlan qeex:,TRUE,"selected(${returnee_area}COMMA""other"")",,,,,,
select_one return_settlement,returnee_settlement,From which settlement of ${returnee_area} is the household returning?,${returnee_country} deegaankee/xaafadee ayee qoyskaaga u noqonayaan? ,TRUE,"selected(${returnee_area}COMMA""dollo_ado"") or selected(${returnee_area}COMMA""jijiga"") or selected(${returnee_area}COMMA""dadaab"")",,,,area=${returnee_area},,
text,returnee_settlement_other,If otherCOMMA please specify,Wax kaleCOMMA fadlan qeex:,TRUE,"selected(${returnee_settlement}COMMA""other"")",,,,,,
select_one yes_no,registered_return,Did you register for voluntary return with UNHCR or authorities in your place of refugee?,Malagu diiwaan geliyay barnaamijka soo celinta iskaaga ah ee UNHCR?,TRUE,"selected(${yes_no_host}COMMA""no"") and selected(${yes_no_idp}COMMA""no"") and selected(${returnee_country}COMMA""kenya"")",,,,,,
end_group,,,,,,,,,,,
begin_group,refugee,Refugee,Qaxooti (aan Soomaali aheyn),,,,,,,,
text,country_origin,From which country did this household travel?,Wadankee qoyskaaga u safreen/qaxeen?,TRUE,"selected(${yes_no_returnee}COMMA""no"") and selected(${yes_no_host}COMMA""no"")",,,,,,
end_group,,,,,,,,,,,
begin_group,why_displaced,Reasons for displacement,Sababta Barakacida,,,,,,,,
date,left_aoo,When did you leave your area of origin?,Goormee kasoo tagtay deegaankaaga asalka ah?,TRUE,"selected(${yes_no_host}COMMA""no"") ",month-year,.<today(),Must be before today,,,
date,arrived_current,When did you arrive at the current location? (answer cannot be longer than previous answer),Goormee imaatay goobta aad hadda joogtid?,TRUE,"selected(${yes_no_host}COMMA""no"")",month-year,.<=today() and .>=${left_aoo},Cannot be before date left AoO,,,
calculate,difference_arrived_today_days,,,TRUE,,,,,,today()-${arrived_current},
calculate,difference_arrived_left_days,,,TRUE,,,,,,${arrived_current}-${left_aoo},
select_one yes_no,multiple_displacements,Between leaving your area of originCOMMA and coming to the current locationCOMMA did you reside in any other locations?,Markaad kasoo tagtay meesha asalka ilaa aad halkaan ka imaatoCOMMA ma jirtaa meel kale aad soo dagtay?,TRUE,${difference_arrived_left_days}>7,,,,,,
integer,locations_lived,In totalCOMMA how many locations have you lived in since leaving your area of origin?,Guud ahaanCOMMA imisa meel ayaad kusoo noolaatey ilaa tan aad kasoo tagtay deegaanka asalka?,TRUE,"${difference_arrived_left_days}>7 and selected(${multiple_displacements}COMMA""yes"")",,.<=20,Max of 20 locations,,,
note,displacement_note,What are the three main reasons you left your previous location?,Waa maxay sababaha ugu weyn ee aad uga soo tagtay meesha aad horey u deganayd?,FALSE,"selected(${yes_no_host}COMMA""no"")",,,,,,
select_one reason1,disp_why1,First reason,Sababta Koowaad,TRUE,"selected(${yes_no_host}COMMA""no"")",,,,,,
select_one reason1,disp_why2,Second reason,Sababta Labaad,TRUE,"selected(${yes_no_host}COMMA""no"") and not (selected(${disp_why1}COMMA""none"")) and not (selected(${disp_why1}COMMA""dontknow""))",,,,name != ${disp_why1},,
select_one reason1,disp_why3,Third reason,Sababta Saddexaad,TRUE,"selected(${yes_no_host}COMMA""no"") and not (selected(${disp_why1}COMMA""none"")) and not (selected(${disp_why2}COMMA""none"")) and not (selected(${disp_why1}COMMA""dontknow"")) and not (selected(${disp_why2}COMMA""dontknow""))",,,,name != ${disp_why2} and name != ${disp_why1},,
note,disp_current_note,What are the top three reasons why you chose to come to this location?,Waa maxay sababaha ugu weyn ee aad u dooratay inaad halkaan imaatid?,FALSE,"selected(${yes_no_host}COMMA""no"")",,,,,,
select_one reason2,dest_loc_why1,First reason,Sababta Koowaad,TRUE,"selected(${yes_no_host}COMMA""no"")",,,,,,
select_one reason2,dest_loc_why2,Second reason,Sababta Labaad,TRUE,"selected(${yes_no_host}COMMA""no"") and not (selected(${dest_loc_why1}COMMA""no_reason"")) and not (selected(${dest_loc_why1}COMMA""dontknow""))",,,,name != ${dest_loc_why1},,
select_one reason2,dest_loc_why3,Third reason,Sababta Saddexaad,TRUE,"selected(${yes_no_host}COMMA""no"") and not (selected(${dest_loc_why1}COMMA""no_reason"")) and not (selected(${dest_loc_why1}COMMA""dontknow"")) and not (selected(${dest_loc_why2}COMMA""no_reason"")) and not (selected(${dest_loc_why2}COMMA""dontknow""))",,,,name != ${dest_loc_why2} and name != ${dest_loc_why1},,
select_one returnee_remain,returnee_remain_here,Do you intend to remain and settle in this location?,Ma daneynaysaa inaad iska joogtid oo aad degtid halkaan?,TRUE,"selected(${yes_no_host}COMMA""no"")",,,,,,
select_one date2,when_continue,When will you move to your intended destination?,Goormee u guureysaa meesha aad qorsheynaysid?,TRUE,"not(selected(${returnee_remain_here}COMMA""yes"")) or not(selected(${yes_no_host}COMMA'yes'))",,,,,,
select_one region,region_intended,Region,Gobolka,TRUE,"selected(${returnee_remain_here}COMMA""elsewhere_somalia"")",,,,,,
select_one district,district_intended,District,Degmada,TRUE,"selected(${returnee_remain_here}COMMA""elsewhere_somalia"")",,,,region=${region_intended},,
select_one district,settlement_intended,Settlement,Xaafada/Tuullada/Deegaanka/Kaamka/Dallada,TRUE,"selected(${returnee_remain_here}COMMA""elsewhere_somalia"")",,,,district=${district_intended},,
text,settlement_intended_other,Please enter the name of the townCOMMA village or neighbourhood,Sheeg magaca xaafada/tuullada/kaamka ama magaca meel u dhow,TRUE,"selected(${settlement_intended}COMMA""other"") and selected(${returnee_remain_here}COMMA""elsewhere_somalia"")",,,,,,
end_group,,,,,,,,,,,
end_group,,,,,,,,,,,
begin_group,D,Child Protection,ILLAALINTA CARUURTA,,,,,,,,
select_one yes_no,beh_change,Have you noticed any changes in any of the children’s behavior in the last 3 monthsCOMMA whether positive or negative?,Ma ku aragtay carruurta wax isbedel xaga dhaqanka ah 3 bilood ee la soo dhaafay haddii ay ahaan lahayd mid fiican ama  mid xun?,TRUE,${total_children}>0,,,,,,
select_multiple behavior_change,girls_beh_change,If you have noticed any behavior changes in any of the childrenCOMMA what kind of behavior changes have you noticed in girls? (Check all that apply.),Haddii aad ku aragtay wax isbedelo xaga dhaqanka ah cid ka mid ah carruurtaCOMMA waa maxay nooca isbedelada xaga dhanqanka ah ee aad ku aragtay gabdhaha? (Fadlan dooro dhamaan jawaaba ku haboon),TRUE,selected(${beh_change}COMMA'yes'),,not(selected(.COMMA'none') and (selected(.COMMA'crying') or selected(.COMMA'aggressive') or selected(.COMMA'violence') or selected(.COMMA'disrespectful') or selected(.COMMA'sadness') or selected(.COMMA'substance_abuse') or selected(.COMMA'crimes') or selected(.COMMA'school_unwillingness') or selected(.COMMA'school_attending') or selected(.COMMA'not_willing_to_help') or selected(.COMMA'helping_more') or selected(.COMMA'caring_for_others') or selected(.COMMA'having_nightmares') or selected(.COMMA'anti_social') or selected(.COMMA'more_time_with_friends') or selected(.COMMA'more_time_on_sports') or selected(.COMMA'wanting_to_join_armed_groups') or selected(.COMMA'other'))),"cannot select ""none"" and any other option",,,
text,girls_beh_change_other,If otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${girls_beh_change}COMMA'other'),,,,,,
select_multiple behavior_change,boys_beh_change,If you have noticed any behavior changes in any of the childrenCOMMA what kind of behavior changes have you noticed in boys? (Check all that apply.),Haddii aad ku aragtay wax isbedelo xaga dhaqanka ah cid ka mid ah carruurtaCOMMA waa maxay nooca isbedelada xaga dhanqanka ah ee aad ku aragtay wiilasha? (Fadlan dooro dhamaan jawaaba ku haboon),TRUE,selected(${beh_change}COMMA'yes'),,not(selected(.COMMA'none') and (selected(.COMMA'crying') or selected(.COMMA'aggressive') or selected(.COMMA'violence') or selected(.COMMA'disrespectful') or selected(.COMMA'sadness') or selected(.COMMA'substance_abuse') or selected(.COMMA'crimes') or selected(.COMMA'school_unwillingness') or selected(.COMMA'school_attending') or selected(.COMMA'not_willing_to_help') or selected(.COMMA'helping_more') or selected(.COMMA'caring_for_others') or selected(.COMMA'having_nightmares') or selected(.COMMA'anti_social') or selected(.COMMA'more_time_with_friends') or selected(.COMMA'more_time_on_sports') or selected(.COMMA'wanting_to_join_armed_groups') or selected(.COMMA'other'))),"cannot select ""none"" and any other option",,,
text,boys_beh_change_other,If otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${boys_beh_change}COMMA'other'),,,,,,
end_group,,,,,,,,,,,
begin_group,separations,Separations,Kala go'id/ kala harid,,,,,,,,
select_one yes_no,separated_members,Were any household members separated from the household within the past three months?,Ma jiraan dad qoyska ka mid ah oo qoyska ka go'ay 3 bilood ee la soo dhaafay?,TRUE,,,,,,,
note,separations_number,Please indicate the number of separated members,Fadlan sheeg tirada dadka qoyskooda ka haray ama ka dhumay xillga barakaca:,false ,selected(${separated_members}COMMA'yes'),,,,,,
integer,separated_boys,Separated boys,Wiil aan lala socon ama ka dhumay dadkooda,TRUE,selected(${separated_members}COMMA'yes'),,.<=20 and .>=0,Must not be illogically high,,,
integer,separated_girls,Separated girls,Gabar aan lala socon ama ka dhumay dadkooda,TRUE,selected(${separated_members}COMMA'yes'),,.<=20 and .>=0,Must not be illogically high,,,
integer,separated_male_assets,Adult male is in other location to protect property/ assets,Wiil qaangaar oo meel kale jooga si uu u ilaaliyo hantida,TRUE,selected(${separated_members}COMMA'yes'),,.<=20 and .>=0,Must not be illogically high,,,
integer,separated_female_assets,Adult female is in other location to protect property/ assets,Gabar qaangaar oo meel kale joogta si ay u ilaaliyo hantida,TRUE,selected(${separated_members}COMMA'yes'),,.<=20 and .>=0,Must not be illogically high,,,
integer,separated_male_other,Other adult male members separated,Rag kale qaangaar ah oo kala dhumay ama haray,TRUE,selected(${separated_members}COMMA'yes'),,.<=20 and .>=0,Must not be illogically high,,,
integer,separated_female_other,Other adult female members separated,Dumar kale qaangaar ah oo kala dhumay ama haray,TRUE,selected(${separated_members}COMMA'yes'),,.<=20 and .>=0,Must not be illogically high,,,
select_one separation_circumstances,separation_circumstances,If children have been separated from the household within the past 3 monthsCOMMA was the separation voluntaryCOMMA accidental or forced?,Haddi ay carruur laga gooyay qoyskooda ay jiraan 3 bilood ee la soo dhaafayCOMMA kala goyntan ma mid iskeeda ah baaCOMMA  mid shil ah ama mid la qasbay?,TRUE,${separated_boys}>0 or ${separated_girls}>0,,,,,,
select_multiple children_separation_reasons,children_sep_reasons,If children have been separated from the household within the past 3 monthsCOMMA what are the main reasons for the separation? (Check all that apply.),Haddii ay carruur laga gooyay qoyska ay jiraan 3 b ilood ee la soo dhaafayCOMMAwaa maxay  sababaha ugu weyn ee keentay kala goynta?,TRUE,${separated_boys}>0 or ${separated_girls}>0,,,,,,
text,children_sep_reasons_other,if otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${children_sep_reasons}COMMA'other'),,,,,,
integer,children_school,How many children in the household attend school?,Imisa caruur oo qoyska ka tirsan ayaa iskuulka aada?,TRUE,${total_children}>0,,.<=${total_children},Must be less than total children in the households ,,,
select_one yes_no,children_dropout,Have any children dropped out of school in the last 6 months?,Imisa caruur oo qoyska ka tirsan ayaa iskuulka ka hartay lixdii bilood ee lasoo dhaafay?,TRUE,${total_children}>0,,,,,,
select_multiple why_not_attend,dropout_why,If yesCOMMA why? ,Haddii jawaabtu haa tahayCOMMA sheeg sababta?,TRUE,selected(${children_dropout}COMMA'yes'),,,,,,
integer,children_work,How many children in the household work?,Imisa caruur oo qoyska ka tirsan ayaa shaqeysa?,TRUE,${total_children}>0,,.<=${total_children},Must be less than total children in the households ,,,
select_one y_n_dk,children_harsh_work,Are there any children in this household who are involved in types of work that are harsh and dangerous for them?,Ma jiraan carruur ka tirsan qoyska oo ka qeyb qaata noocyo shaqo oo dhib iyo halis ku ah iyaga?,TRUE,${total_children}>0,,,,,,
select_multiple harsh_work,children_harsh_work_type,What types of work are these children involved in?,Waa maxay noocyada shaqo ay carruurtan ka qeyb qaataan?,TRUE,selected(${children_harsh_work}COMMA'yes'),,,,,,
text,children_harsh_work_type_other,if otherCOMMA please specify,Wax kaleCOMMA fadlan qeex,TRUE,selected(${children_harsh_work_type}COMMA'other'),,,,,,
end_group,,,,,,,,,,,
begin_group,E,Safety,AMMAANKA,,,,,,,,
